dataset,run_id,test_accuracy,num_test,num_misclassified,Random_APFD,Random_PFD@10,Random_PFD@20,DeepGini_APFD,DeepGini_PFD@10,DeepGini_PFD@20,Entropy_APFD,Entropy_PFD@10,Entropy_PFD@20,VanillaSM_APFD,VanillaSM_PFD@10,VanillaSM_PFD@20,PCS_APFD,PCS_PFD@10,PCS_PFD@20,Filo-Priori_APFD,Filo-Priori_PFD@10,Filo-Priori_PFD@20
cora,0,0.74,1000,260,0.48707153846153856,0.09346153846153846,0.18192307692307694,0.7099153846153845,0.2692307692307692,0.46923076923076923,0.7183307692307692,0.2653846153846154,0.46923076923076923,0.7097307692307692,0.26153846153846155,0.4653846153846154,0.7099115384615384,0.2653846153846154,0.46923076923076923,0.8383692307692308,0.3423076923076923,0.6615384615384615
cora,1,0.756,1000,244,0.49260860655737704,0.09426229508196722,0.18975409836065574,0.7262377049180327,0.26639344262295084,0.47540983606557374,0.7317909836065573,0.27459016393442626,0.47540983606557374,0.7284016393442623,0.26229508196721313,0.4713114754098361,0.7261516393442622,0.26639344262295084,0.47540983606557374,0.8557377049180327,0.39344262295081966,0.7254098360655737
cora,2,0.786,1000,214,0.507885046728972,0.10934579439252337,0.20747663551401865,0.703607476635514,0.2336448598130841,0.42990654205607476,0.7113785046728971,0.2383177570093458,0.42990654205607476,0.7028457943925233,0.2336448598130841,0.42990654205607476,0.7035514018691589,0.2336448598130841,0.42990654205607476,0.8690093457943925,0.42990654205607476,0.8037383177570093
cora,3,0.786,1000,214,0.5134144859813083,0.10233644859813085,0.21542056074766353,0.7039766355140187,0.24299065420560748,0.4672897196261682,0.7274579439252336,0.24766355140186916,0.46261682242990654,0.7050841121495326,0.24299065420560748,0.4672897196261682,0.7037990654205607,0.24299065420560748,0.4672897196261682,0.870196261682243,0.4532710280373832,0.7990654205607477
cora,4,0.779,1000,221,0.5098217194570135,0.10678733031674208,0.21447963800904976,0.7252918552036198,0.27601809954751133,0.49321266968325794,0.7282058823529411,0.27601809954751133,0.49321266968325794,0.7253325791855203,0.28054298642533937,0.49321266968325794,0.7252239819004525,0.27601809954751133,0.49321266968325794,0.8714049773755655,0.43891402714932126,0.7873303167420814
citeseer,0,0.622,1000,378,0.49925476190476187,0.09603174603174602,0.20105820105820102,0.626968253968254,0.1693121693121693,0.3439153439153439,0.6396455026455026,0.16666666666666666,0.3439153439153439,0.6290661375661375,0.17195767195767195,0.3439153439153439,0.6269232804232804,0.1693121693121693,0.3439153439153439,0.7458518518518518,0.2328042328042328,0.4417989417989418
citeseer,1,0.55,1000,450,0.5038213333333333,0.10488888888888889,0.21066666666666664,0.5948977777777777,0.15555555555555556,0.29555555555555557,0.60864,0.15555555555555556,0.29555555555555557,0.5947111111111111,0.15555555555555556,0.29555555555555557,0.5949111111111111,0.15555555555555556,0.29555555555555557,0.7163666666666666,0.19777777777777777,0.3888888888888889
citeseer,2,0.614,1000,386,0.5036647668393781,0.09715025906735751,0.20492227979274608,0.6141398963730569,0.16580310880829016,0.3005181347150259,0.6165673575129533,0.16839378238341968,0.3005181347150259,0.6131113989637305,0.17098445595854922,0.2979274611398964,0.6140673575129534,0.16580310880829016,0.3005181347150259,0.743339378238342,0.22797927461139897,0.4378238341968912
citeseer,3,0.634,1000,366,0.4953784153005465,0.0959016393442623,0.19234972677595627,0.613950819672131,0.16666666666666666,0.319672131147541,0.6222622950819672,0.16393442622950818,0.319672131147541,0.6143278688524589,0.16666666666666666,0.319672131147541,0.613967213114754,0.16666666666666666,0.319672131147541,0.7600382513661201,0.24316939890710382,0.4672131147540984
citeseer,4,0.63,1000,370,0.4966610810810811,0.09945945945945947,0.19891891891891894,0.604808108108108,0.1810810810810811,0.31891891891891894,0.6109486486486486,0.1810810810810811,0.31891891891891894,0.6006837837837837,0.1810810810810811,0.3162162162162162,0.6048891891891892,0.1810810810810811,0.31891891891891894,0.7436243243243243,0.23783783783783785,0.44594594594594594
pubmed,0,0.764,1000,236,0.4949423728813559,0.09745762711864406,0.1944915254237288,0.6509322033898304,0.2288135593220339,0.4067796610169492,0.6564322033898304,0.2288135593220339,0.4067796610169492,0.6533474576271185,0.2288135593220339,0.4067796610169492,0.6509322033898304,0.2288135593220339,0.4067796610169492,0.7930974576271186,0.3220338983050847,0.6059322033898306
pubmed,1,0.769,1000,231,0.49400216450216455,0.09523809523809523,0.1896103896103896,0.6490064935064934,0.22077922077922077,0.3852813852813853,0.6509242424242423,0.21645021645021645,0.38961038961038963,0.6486558441558441,0.22077922077922077,0.3852813852813853,0.6490108225108224,0.22077922077922077,0.3852813852813853,0.787508658008658,0.33766233766233766,0.5497835497835498
pubmed,2,0.773,1000,227,0.5071149779735682,0.11233480176211455,0.20616740088105728,0.6585352422907489,0.23348017621145375,0.4052863436123348,0.6621387665198237,0.23788546255506607,0.4008810572687225,0.6575088105726872,0.23348017621145375,0.4052863436123348,0.6585044052863436,0.23348017621145375,0.4052863436123348,0.7946762114537445,0.3436123348017621,0.6079295154185022
pubmed,3,0.769,1000,231,0.485025974025974,0.09047619047619047,0.1935064935064935,0.6385303030303029,0.20346320346320346,0.35064935064935066,0.6410844155844155,0.20346320346320346,0.35064935064935066,0.6376038961038961,0.20346320346320346,0.354978354978355,0.638495670995671,0.20346320346320346,0.35064935064935066,0.7886428571428571,0.3116883116883117,0.5714285714285714
pubmed,4,0.76,1000,240,0.5094195833333333,0.10541666666666667,0.21166666666666667,0.6313791666666666,0.19583333333333333,0.3625,0.63215,0.19583333333333333,0.3625,0.6296833333333333,0.19583333333333333,0.3625,0.6313708333333332,0.19583333333333333,0.3625,0.7612166666666667,0.29583333333333334,0.5125
