Method,Mean APFD,95% CI Lower,95% CI Upper,Std,Median,Min,Max,APFD=1.0 (%),APFD>=0.7 (%),APFD<0.5 (%),Î” vs Filo-Priori,p-value,Cohen's d,Effect,Test,p-value (adj),Significant
FailureRate,0.6289181298022424,0.5968702963167468,0.6596498096850694,0.26711083527444274,0.65625,0.020833333333333294,1.0,8.303249097472925,44.765342960288805,30.685920577617328,-0.011839387849635874,0.3625976915518907,-0.04620048389476322,negligible,wilcoxon,0.7251953831037814,
XGBoost,0.6171461767961482,0.582732807519549,0.6494289302079982,0.277619152628925,0.638157894736842,0.0075757575757575725,1.0,8.303249097472925,45.48736462093863,33.2129963898917,-6.743484354166952e-05,0.5771332944553043,-0.00022854891020933574,negligible,wilcoxon,0.7251953831037814,
Filo-Priori,0.6170787419526065,0.5864241987739159,0.647504966600505,0.2547722317238257,0.611111111111111,0.0277777777777777,1.0,8.303249097472925,40.794223826714806,33.57400722021661,0.0,1.0,0.0,-,-,,
GreedyHistorical,0.6137855031734285,0.5817372754105988,0.6467628074343531,0.28519964258516,0.625,0.016666666666666635,1.0,8.303249097472925,44.04332129963899,31.768953068592058,0.0032932387791780203,0.09617158219491939,0.013316043049028125,negligible,wilcoxon,0.46845919948375614,
LogisticRegression,0.5964184340046845,0.5593206482839503,0.6311126364853882,0.2955933628042704,0.625,0.0075757575757575725,1.0,8.303249097472925,42.238267148014444,35.018050541516246,0.02066030794792191,0.18546379539985475,0.06414864476027077,negligible,wilcoxon,0.5563913861995642,
RandomForest,0.5910203950370471,0.5558212297515303,0.6265471189066959,0.2909601269160751,0.5961538461538461,0.0075757575757575725,1.0,8.303249097472925,41.51624548736462,35.74007220216607,0.026058346915559392,0.09369183989675123,0.0818027137332997,negligible,wilcoxon,0.46845919948375614,
Random,0.5595974199211962,0.5332094767923334,0.5838448431139835,0.21545465246385576,0.5340909090909091,0.07000000000000005,1.0,8.303249097472925,21.299638989169676,40.794223826714806,0.05748132203141033,0.0002045479832808087,0.20010205441427706,small,wilcoxon,0.0012272878996848523,***
RecentFailureRate,0.5453533573926854,0.5147049872616569,0.5778306758760913,0.2771937832670179,0.5357142857142857,0.016666666666666635,1.0,8.303249097472925,31.046931407942242,42.59927797833935,0.07172538455992111,7.208647442515227e-05,0.2263521986304728,small,wilcoxon,0.0005046053209760659,***
Recency,0.5239892836385087,0.49025207438695156,0.5573427459703227,0.29205270763356367,0.5,0.01724137931034479,1.0,8.303249097472925,32.12996389891697,49.09747292418773,0.09308945831409782,1.4384646342265947e-08,0.32615583737666515,small,wilcoxon,1.1507717073812758e-07,***
