build_id,apfd,n_tests,n_faults
T1TH33.71,0.9583333333333333,12,1
T1TN33.14-44-1,0.9666666666666667,15,1
S3SQ32.16-72-31,0.8625,20,4
T2TT33.17,0.5,16,2
S2SD32.21-85-3-2-1,0.5952380952380952,15,7
T2SD33.27,0.9878048780487805,41,1
T2SD33.26,0.5833333333333333,32,6
T2SD33.21,0.5,9,5
T2SD33.20,0.8043478260869565,23,2
T1TR33.43-40,0.81,50,4
T2TV33.10,0.7113502935420744,73,7
T2TV33.9,0.875,12,3
T2TV33.11,0.7500000000000001,26,4
T2TV33.7,0.5,8,2
T1TH33.75-2,0.623015873015873,42,3
T1TH33.75-3,0.9166666666666667,6,1
TTV33.16,0.5,3,1
T1TPN33.58-15,0.9117647058823529,17,3
T1TN33.14-44-2,0.8333333333333334,3,1
T2TV33.12,0.6499999999999999,70,7
T2TZ33.9,0.6363636363636364,22,4
T2TZ33.10,0.5908134642356242,62,23
T2TZ33.13,0.7424242424242424,11,3
T1TGN33.60-23,0.5,1,1
T2TV33.14,0.7866161616161615,66,12
T2TV33.13,0.42897727272727276,88,4
T1SJC33.51-7,0.9500000000000001,10,1
T1SJC33.51-6,0.1875,8,1
T2TL33.6,0.5,5,1
T2SD33.54,0.75,4,2
T2TV33.8,0.7500000000000001,6,1
T1SJ33.117-18,0.7857142857142857,7,1
S3SG32.39-90-1,0.7124999999999999,40,10
T1RD33.116-13,0.5803571428571428,40,7
T1RD33.116-9,0.75,2,1
T1RD33.116-16,0.9166666666666667,6,1
T1RD33.116-15,0.4166666666666667,12,2
TSH33.179,0.41666666666666663,27,4
T1SQ33.15-11-77,0.9807692307692308,26,1
T1SQ33.15-11-80,0.8500000000000001,10,1
T1SQ33.15-11-85,0.4787234042553192,47,3
S3RW32.138-29-5,0.8886363636363636,110,4
T1TZ33.3-50,0.9375,16,2
T1TPN33.58-31,0.875,4,1
T1TZ33.3-52,0.6847826086956522,23,4
T1TZ33.3-47,0.75,2,1
T1TH33.75-12-6,0.39999999999999997,10,2
T1TH33.75-12-9,0.75,2,1
T2SH33.9,0.8333333333333334,15,1
T2TR33.5,0.6296296296296297,27,4
T2SA33.9,0.9166666666666667,6,1
T1SSM33.1-49,0.07142857142857142,7,1
T1SSM33.1-101,0.9375,8,1
T1SSM33.1-100,0.75,2,1
T1TBS33.32-41-1-2,0.9285714285714286,21,1
T1SJ33.117-19,0.9166666666666667,6,1
T1TPN33.58-37,0.9,5,1
T2TV33.30,0.9189189189189189,37,6
T2TV33.28,0.8928571428571429,14,3
T1TBS33.32-8-9-6,0.9,15,1
T1TBS33.32-41-2,0.75,2,1
TSH33.252,0.975,60,1
T2TV33.45-10,0.7533333333333334,25,3
T2TV33.33,0.640625,16,4
T2TV33.45-9,0.5013736263736264,52,7
TTR33.145,0.7777777777777778,9,2
TSA33.217,0.8333333333333334,3,1
TSA33.242,0.9583333333333333,12,1
T1TZ33.3-60,0.5,1,1
T2TV33.31,0.6616847826086957,48,23
T1TR33.43-20-24,0.5,4,2
S3RW32.138-29-6,0.9056603773584906,53,2
T2TT33.60-3,0.7974789915966387,119,20
T2TT33.60-4,0.5555555555555556,18,2
T2TT33.60-5,0.9444444444444444,9,1
T2TT33.60-7,0.8333333333333333,12,2
S3RO32.1,0.7,5,3
T2TV33.32,0.7222222222222223,9,1
T2TV33.34,0.5598290598290597,27,13
S3SG32.39-181,0.8333333333333334,3,1
T2TV33.35,0.6666666666666666,3,2
TTM33.1,0.676470588235294,17,2
TTM33.19,0.9500000000000001,20,2
T3TM33.6,0.1470588235294118,17,1
T3TM33.9,0.49642857142857144,20,7
TTM33.15,0.9583333333333333,12,1
TTM33.20,0.35000000000000003,10,1
TTM33.18,0.9583333333333334,24,2
TTM33.21,0.6111111111111112,9,2
TTD33.18,0.7,5,3
T3TC33.8,0.6619047619047619,15,7
T1TP33.75-20,0.5625,8,1
T1RG33.135-56,0.25,18,2
T1RM33.1-89,0.8200000000000001,25,1
T1RM33.1-92,0.7000000000000001,10,4
T1RM33.1-54,0.9197530864197531,27,3
T1RG33.135-109-1,0.78,25,1
T1RG33.135-89,0.5,12,4
T1RM33.1-60,0.8500000000000001,10,3
TTC33.18,0.7553191489361702,47,3
TTC33.19,0.7666666666666667,15,1
TTC33.20,0.22727272727272724,11,1
TTC33.17,0.9722222222222222,18,1
TTD33.17,0.8636363636363636,33,1
TTD33.21,0.7248803827751196,57,11
TTD33.20,0.96,25,2
TTD33.16,0.7916666666666666,12,1
T3TC33.10,0.5625,8,2
T3TC33.9,0.5833333333333334,6,1
T3TC33.5,0.33333333333333326,3,2
T1TZ33.3-62-25,0.75,14,2
T2TV33.45-10-3,0.1,5,1
T2TV33.45-5,0.7307692307692307,13,1
T2TV33.45-8,0.8056603773584906,53,15
S3RO32.16,0.43333333333333335,15,3
T1TPN33.146,0.9285714285714286,7,1
TTDC33.16,0.4791666666666667,24,1
T3TDC33.3,0.75,2,1
TSH33.263,0.75,2,1
TTD33.22,0.9583333333333333,12,1
TTD33.15,0.38888888888888895,9,3
T2ST33.95,0.9375,24,3
T2ST33.101,0.5,43,43
T2ST33.92,0.8928571428571429,28,2
TTC33.13,0.96875,16,1
T2TV33.45-10-1,0.875,4,1
T2TZ33.18-16-17,0.75,2,1
T3TM33.7,0.24999999999999994,6,1
T3TM33.4,0.9285714285714286,7,1
T3TD33.9,0.6428571428571428,7,2
T2TV33.45-10-4,0.8,10,2
T2SD33.75-7,0.3571428571428572,21,1
S3RYA32.16,0.39999999999999997,10,2
T2TV33.45-10-5,0.5416666666666666,4,3
S2SN32.34-72-25,0.875,4,1
T2ST33.96,0.8125,16,2
T3TDC33.6,0.49999999999999994,10,10
T3SL33.5,0.6730769230769231,26,3
T3SL33.6,0.88,25,2
T3SL33.3,0.5555555555555556,9,2
T3SL33.9,0.11538461538461534,13,1
T1RM33.1-110-4,0.8684210526315789,19,1
T1SU33.1-124-4,0.06000000000000004,25,1
T2TV33.45-31,0.5666666666666667,15,1
T3TP33.2,0.9,5,1
T3SH33.9,0.8902439024390244,41,1
T2TL33.3-49,0.9821428571428572,28,1
T3SL33.4,0.888888888888889,9,2
T2TV33.45-10-20,0.880952380952381,21,1
T1SSM33.1-121-5,0.9,5,1
T3TB33.2-5,0.7941176470588235,17,2
T2TT33.60-27,0.9375,8,1
T3SL33.8,0.5,9,2
T3SL33.16,0.5725806451612903,62,15
S3RYA32.35,0.6,5,2
T2SD33.75-39,0.8333333333333334,3,1
T3TD33.10,0.5,1,1
T1TH33.75-12-6-1-1,0.5,5,4
T2SR33.33,0.9074074074074073,27,1
T3SL33.16-1,0.5892857142857143,28,7
T2SR33.54,0.9166666666666667,6,1
T2SE33.39,0.29999999999999993,5,1
T3TDC33.16-14,0.8846153846153846,13,2
T3TM33.23-10,0.9,20,4
T2SN33.33,0.9545454545454545,11,1
T2TV33.45-50,0.625,4,1
T3TDC33.16-12,0.7282608695652174,23,4
T2SR33.34,0.8666666666666667,15,2
T2SR33.35,0.9166666666666666,12,2
T3TD33.16-13,0.9285714285714286,7,1
T2ST33.105-15,0.9888888888888888,45,1
S3SV32.45-28-1-6-5,0.9166666666666667,6,1
T3TM33.23-15,0.875,4,1
T1RG33.135-109-2,0.75,4,2
T1TPJ33.75-84,0.9615384615384616,13,1
T1TPJ33.75-87,0.9375,8,1
T2TL33.3-50,0.9464285714285715,28,1
T2TL33.3-56,0.5,1,1
S3RYA32.49-8,0.8333333333333333,12,4
S3RYA32.49-7,0.5416666666666666,12,1
T1TR33.43-20-42,0.8461538461538461,13,2
T2TT33.60-42,0.4166666666666667,6,1
UTR34.95,0.8863636363636364,22,2
UTR34.96,0.7451923076923077,52,8
T1TR33.4-30-75,0.6333333333333333,15,2
UTP34.112,0.8177083333333334,24,8
T3TB33.2-24,0.875,4,1
UUG34.27,0.4090909090909091,11,1
T2SV33.39,0.6515151515151515,33,2
T2SV33.40,0.90625,16,2
T2SV33.42,0.7083333333333334,12,5
UTPN34.116,0.9444444444444444,63,1
UTP34.79,0.6568627450980392,17,3
UUD34.21,0.703125,16,4
UUD34.24,0.8303571428571428,56,3
UTP34.80,0.6095571095571095,33,13
UTPN34.145,0.875,4,1
UTPN34.125,0.4866666666666667,25,3
USH34.126,0.5,4,4
UTR34.91,0.9624999999999999,40,1
UTR34.93,0.8318181818181818,66,5
UTR34.92,0.18749999999999997,24,1
UUD34.20,0.7999999999999999,5,2
UUD34.25,0.975609756097561,41,2
UTR34.88,0.6052631578947368,19,5
U1TR34.8-7,0.8875,40,1
T3SL33.16-9,0.8142857142857143,80,14
T3SL33.16-11,0.4111111111111111,15,3
UST34.30,0.5952380952380952,21,2
USH34.104,0.9444444444444444,9,1
UTPN34.141,0.5,1,1
UTPN34.152,0.6865079365079365,18,7
UTP34.61,0.5,1,1
UTPN34.147,0.8125,16,2
UTP34.84,0.29999999999999993,19,5
UTP34.83,0.3723404255319149,47,4
UTPN34.124,0.20967741935483875,31,1
T3TF33.14,0.875,12,3
T3TF33.16,0.5108932461873639,51,9
T3TF33.19,0.7999999999999999,5,2
T3TF33.13,0.7227272727272727,22,5
T3TF33.18,0.1875,8,1
T3TF33.11,0.40476190476190477,21,2
T3TF33.36,0.9,5,1
T3SL33.16-7,0.9583333333333333,12,1
UUD34.26,0.9166666666666667,6,1
T2TV33.45-73,0.9615384615384616,13,1
UTR34.114,0.5,9,9
UUFN34.6,0.5,3,1
UUFN34.8,0.75,2,1
T2TV33.45-74,0.875,4,1
T1TN33.14-90-9,0.923076923076923,13,2
UUG34.4,0.8333333333333334,3,1
T1TPN33.58-37-2-1,0.7500000000000001,6,3
T3TC33.18-27-4,0.19565217391304346,23,1
T2TV33.45-79,0.24999999999999994,6,1
T2TZ33.18-59,0.423076923076923,13,1
UUFN34.11,0.8194444444444444,36,6
UUFN34.25,0.6458333333333333,8,3
T2TZ33.18-58,0.9878048780487805,41,1
UUFN34.26,0.8333333333333334,15,1
UUFN34.27,0.875,8,2
UTPN34.144,0.5625,16,2
T3TF33.33,0.6000000000000001,10,2
U1TPN34.11,0.5,3,3
UTB34.97,0.8636363636363635,11,1
UUFN34.24,0.5,7,1
T2SR33.72-13,0.5,1,1
T2SE33.73-8,0.5,1,1
U1TB34.21,0.11206896551724137,58,1
T3SG33.102,0.5263157894736842,19,2
T3SG33.92,0.48214285714285715,12,7
T3SG33.99,0.9583333333333333,12,1
T3SG33.131,0.5,5,1
T3SG33.129,0.5138888888888888,12,9
UUG34.20,0.5,1,1
UTR34.116,0.5,1,1
T1RD33.116-33-13,0.875,4,1
U1SQ34.18,0.48850574712643674,29,3
U1SQ34.45,0.875,4,1
U1SQ34.51,0.75,2,1
U1UFN34.17,0.8500000000000001,10,1
U1TR34.8-5,0.9791666666666667,24,1
U1UFN34.15,0.7142857142857142,7,2
T1TPN33.58-92,0.75,2,1
T1TPN33.58-94,0.6666666666666666,3,2
UUB34.4,0.875,4,1
U1TPN34.18,0.5833333333333334,6,1
T2TV33.45-110,0.9375,8,1
U1UD34.11,0.5,5,1
U1UD34.12,0.8333333333333334,3,1
T2TV33.45-109,0.375,4,1
T3TDC33.16-63,0.7291666666666666,24,1
U1UD34.10,0.6666666666666666,3,2
UTPN34.177,0.2857142857142857,7,2
UTPN34.176,0.16666666666666666,3,1
UTR34.127,0.5681818181818182,44,2
USH34.151,0.4756944444444445,24,12
U1SH34.15,0.4375,8,3
U1UFN34.18,0.7,5,1
U1UD34.16-2,0.5892857142857143,28,3
UUB34.24,0.655,50,4
UUB34.22,0.6428571428571428,7,1
UUB34.25,0.9411764705882353,34,2
U1UD34.16-7,0.5,1,1
T3TF33.66-2,0.12500000000000003,12,2
U1TPC34.1,0.8333333333333334,3,1
U1SSM34.31-19,0.7424242424242424,11,3
U1TC34.42,0.875,4,1
U1TC34.22-12,0.7222222222222223,9,2
UTGN34.139,0.9714285714285714,35,2
U2TZ34.9,0.5,1,1
UTR34.153,0.5821256038647343,23,9
UTGN34.142,0.375,4,1
U2TR34.23,0.45833333333333337,4,3
U2TB34.26,0.09375,16,1
UST34.88,0.11538461538461534,13,1
UST34.90,0.3181818181818182,11,1
UTT34.104,0.5,1,1
U1TR34.8-30,0.8292682926829269,41,4
UUM34.28,0.7,5,1
UUM34.23,0.3055555555555556,18,1
U1TGN34.42-13,0.9545454545454545,55,1
U1UFN34.36,0.5,2,2
U1TP34.29-18,0.9,5,1
UUB34.27,0.9339622641509434,53,2
U2UB34.12,0.9,5,1
UUB34.29,0.5657894736842105,19,4
UUB34.28,0.7318181818181818,22,5
UUB34.31,0.4166666666666667,12,6
UUB34.30,0.1363636363636364,11,1
U2UM34.12,0.875,4,1
U1TGN34.33,0.5,1,1
U2UU34.40-14-1,0.8333333333333334,3,1
U1TDJ34.70,0.9285714285714286,7,1
U1TN34.75,0.5,1,1
U1UFN34.41-1,0.6875,8,1
T3TD33.16-78,0.9545454545454546,22,2
U1TD34.74,0.8333333333333334,6,2
U2UM34.13,0.5,1,1
UUX34.51,0.7727272727272727,11,3
U3UX34.29,0.8333333333333334,6,2
U3UX34.1,0.05172413793103444,29,1
U3UX34.56,0.6428571428571428,7,2
U3UX34.54,0.40686274509803927,34,9
U1TM34.84,0.20000000000000004,25,2
U1TDJ34.100-17,0.6666666666666666,3,2
U1SQ34.52-21-1,0.75,2,1
U1TGN34.42-19,0.3554396423248882,61,11
U1UFN34.41-23,0.8863636363636364,22,2
U1SQ34.53-14,0.9166666666666667,6,1
U1SQ34.53-12,0.375,4,1
T3TF33.66-37,0.5568181818181819,22,8
U1TGN34.42-12,0.7500000000000001,6,1
U2UM34.14,0.9375,8,1
U2UB34.42,0.7500000000000001,6,1
U2UB34.20,0.8333333333333334,3,1
U2UM34.10,0.9,5,1
UUU34.15,0.49999999999999994,6,6
UUU34.25,0.5,1,1
U2UU34.2,0.5,5,5
UUU34.21,0.5,1,1
U1UG34.23-23-5,0.8333333333333334,3,1
UTR34.173,0.5,1,1
UUC34.7,0.8333333333333334,3,1
UUV34.55,0.75,2,1
UUV34.54,0.5833333333333334,12,6
U2UB34.43,0.5694444444444444,12,3
U2UB34.38,0.9285714285714286,7,1
U2UAN34.38,0.5952380952380952,21,1
UUX34.49,0.26923076923076916,13,1
UUX34.47,0.7134146341463414,41,4
UUV34.59,0.425925925925926,36,6
UUX34.48,0.8368421052631578,19,5
UUV34.63,0.7533333333333334,25,3
UUV34.60,0.15625,16,1
UUV34.57,0.6083333333333333,20,3
UUV34.66,0.9500000000000001,10,1
U1TGN34.42-30,0.75,2,1
U3UC34.3,0.73,50,1
U3UC34.7,0.78,75,3
U3UC34.9,0.49609375,64,8
U3UC34.32,0.5486111111111112,24,6
U3UC34.33,0.9444444444444444,9,1
UUC34.37,0.7916666666666667,24,2
U3UV34.9,0.5,8,2
U3UC34.8,0.6778846153846154,52,4
U3UC34.5,0.9204545454545454,44,4
U3UC34.1,0.6538461538461539,21,13
UUC34.34,0.7678571428571429,28,1
UUX34.54,0.25,2,1
UUX34.53,0.5422077922077922,14,11
U1TL34.76,0.5,3,2
U1TL34.81,0.5,5,1
U2UM34.27-6,0.23333333333333328,15,1
U2UM34.27-8,0.5,1,1
U1TDC34.9-2,0.74,25,2
U1TM34.80,0.8478260869565217,23,2
U1TM34.85,0.5,2,2
U1TM34.79,0.6228070175438597,19,6
U1TM34.81,0.7727272727272727,11,1
UTB34.203,0.875,16,2
UTC34.132,0.5,2,2
U3TR34.13,0.9838709677419355,31,1
U3TZ34.6,0.6661654135338346,133,10
UTZ34.31,0.9,5,1
UTZ34.33,0.75,2,1
U3TZ34.5,0.7321428571428572,28,3
U3UC34.56,0.6136363636363635,22,7
U3UC34.63-31,0.8157894736842105,19,1
U1TT34.125,0.5952380952380952,21,1
U1TT34.119,0.8846153846153846,13,3
U1TT34.124,0.9057971014492754,23,3
U1TT34.121,0.8,10,2
U1TT34.126,0.5,1,1
U1UD34.16-62,0.926470588235294,34,2
U2UU34.1,0.5,2,2
U1UG34.23-55,0.75,2,1
U3TZ34.4,0.5454545454545454,22,10
UTZ34.35,0.9166666666666667,6,1
UTO34.163,0.5666666666666667,5,3
U3UFN34.1,0.375,4,1
UTO34.179,0.5,1,1
UUFN34.94,0.5,1,1
U3UX34.30,0.5,1,1
UUX34.52,0.7916666666666666,12,3
U3UX34.3,0.3055555555555556,18,2
U3UX34.5,0.6442307692307692,52,8
UUX34.65,0.9375,24,1
T3TD33.16-78-7,0.9444444444444444,27,3
U2UB34.44,0.4375,8,2
U2UU34.40-6,0.07142857142857142,7,1
U3UV34.7,0.8333333333333334,3,1
U2UM34.27-14,0.9375,8,1
U1TD34.100-7,0.5,1,1
U2UB34.44-20,0.9,5,1
U3UX34.7,0.7091097308488613,69,7
U3UC34.6,0.9444444444444444,9,1
U3UW34.44,0.5833333333333334,9,4
U2UU34.17,0.5,1,1
T2RK33.71,0.85,20,2
T2RK33.91,0.75,4,2
UUX34.63,0.75,2,1
U1TGN34.42-67,0.5,7,3
U2UM34.27-33,0.888888888888889,9,2
T1TO33.33-147,0.8333333333333334,18,4
U3TR34.8,0.4166666666666667,6,3
U3UX34.8,0.8589743589743589,13,3
U2SL34.1-4,0.9423076923076924,26,2
U2SL34.1-20,0.44642857142857145,28,1
U2SL34.1-2,0.72,25,2
U1UD34.16-82,0.9444444444444444,18,2
U3UX34.9,0.5,1,1
U1TF34.67,0.9285714285714286,7,1
U1TF34.44,0.5306306306306307,37,15
U1TF34.45,0.9210526315789473,19,1
U2UM34.27-36,0.9736842105263158,19,1
U1TO34.1-33,0.875,4,1
U2SL34.1-17,0.8333333333333334,3,1
U3TZ34.2-65,0.7482758620689656,29,5
U3TZ34.2-38,0.7741935483870968,31,2
U3TV34.1-20,0.69375,48,5
U3TV34.1-25,0.6851851851851852,9,3
U3UW34.36,0.5,1,1
U3UW34.19,0.5,7,1
U3UW34.24,0.7410714285714286,56,4
U3UX34.26,0.16666666666666666,3,1
U3TZ34.2-20,0.6057692307692307,52,6
U3TZ34.2-7,0.5000638569604087,90,87
U3TZ34.2-18,0.8196894848270995,109,13
U3TZ34.2-16,0.3076923076923077,13,2
U3TZ34.2-22,0.9473684210526315,19,2
U3TZ34.2-14,0.09999999999999998,15,1
U3UV34.26,0.9444444444444444,9,1
U3UV34.26-2,0.8697916666666666,64,12
U3UV34.26-5,0.6071428571428571,14,1
U3UV34.26-3,0.9,15,3
U2UU34.40-5,0.5,1,1
U2UB34.44-42,0.45,10,1
U3TV34.1-2,0.9166666666666667,6,1
U2UM34.27-38-4,0.9166666666666667,6,1
U2UUI34.40-6,0.5,1,1
U3TV34.1-1,0.75,2,1
U3UW34.25,0.7142857142857143,49,2
U3UW34.27,0.5833333333333334,18,3
U1UD34.16-82-4,0.5,1,1
U3UC34.35,0.125,4,1
U2UAN34.72-16,0.9705882352941176,17,1
U3TZ34.2-15,0.6481481481481481,9,3
U3TB34.26,0.8125,8,2
U1TDC34.9-34,0.5952380952380952,21,2
U3UC34.51,0.5,1,1
U3UC34.63,0.5,2,2
U3UC34.38,0.5,1,1
UUI34.37,0.75,2,1
U3TV34.1-11,0.5625,8,1
U3UX34.56-1,0.8991228070175439,76,6
U3UX34.56-2,0.793859649122807,57,8
U3UX34.56-4,0.6041666666666667,8,3
U3UX34.56-3,0.7730263157894738,38,8
U3TV34.1-22,0.880952380952381,21,2
U3TV34.1-18,0.5030701754385964,76,75
U3TV34.1-19,0.7216312056737589,94,12
U3TV34.1-23,0.5,1,1
U2UB34.44-71,0.5,7,1
U3TZ34.2-40,0.515625,32,2
UTB34.309,0.6481481481481481,27,2
USQ34.223,0.5,3,3
USQ34.221,0.5,5,5
UTB34.291,0.6370967741935484,31,4
UTB34.293,0.88,25,6
UTB34.292,0.34090909090909094,22,3
U3TZ34.2-43,0.8458333333333333,40,3
UTB34.294,0.8970588235294117,34,3
UUFN34.170,0.125,4,1
UTB34.295,0.08536585365853654,41,1
U3UV34.26-25,0.6754385964912281,19,9
U3TZ34.2-42,0.875,4,1
UTO34.266,0.053571428571428555,28,1
USQ34.227,0.2857142857142857,14,2
UTB34.308,0.6805555555555556,36,3
UUFN34.192,0.462962962962963,9,3
USQ34.230,0.7,5,2
UTO34.265,0.45833333333333337,20,6
UUC34.59,0.5370370370370371,9,6
U2UAN34.72-35,0.5,1,1
U3UV34.26-22-1,0.8333333333333334,21,1
T3TF33.66-52,0.8472222222222222,18,4
U3UV34.26-27,0.7023809523809524,14,6
U3UOC34.45,0.5,1,1
U3TV34.1-15,0.7857142857142857,7,1
UUI34.31,0.8571428571428571,7,2
UUI34.33,0.6666666666666666,3,2
U1TR34.8-30-13-2-2,0.9210526315789473,19,1
U1UG34.23-82,0.5,1,1
U2SL34.1-42,0.9848484848484849,33,1
U2UAN34.72-43,0.9666666666666667,15,1
U3UC34.63-24,0.6547619047619048,28,6
U1SJ34.2-46,0.375,4,1
U1SJ34.2-54,0.5,1,1
U3UC34.63-29,0.8333333333333334,3,1
U3UX34.56-17,0.8846153846153846,13,1
U3UW34.67-6,0.984375,32,1
U3TV34.1-45,0.9166666666666667,6,1
U1RD34.43,0.6666666666666666,3,2
U1RD34.44,0.75,2,1
U3UC34.63-23,0.8461538461538461,13,2
U3UC34.63-26,0.7581300813008129,41,12
U3UX34.56-20,0.2777777777777778,9,1
U3UX34.56-19,0.8461538461538461,13,2
U3TZ34.2-58,0.5,1,1
U3TV34.1-42,0.29999999999999993,5,1
U3UO34.49-15,0.7352941176470588,17,1
U3TZ34.67,0.462962962962963,9,3
U3TV34.1-43,0.9,5,1
U3TV34.1-48,0.5,32,2
UUI34.32,0.49999999999999994,6,6
U3TZ34.81,0.38636363636363635,22,1
U3TV34.1-51,0.5952380952380953,9,7
U2UAN34.72-43-2,0.7886363636363637,44,5
U1UG34.23-85,0.75,2,1
T3TF33.66-56,0.66875,16,5
U3UX34.56-23,0.6153846153846153,13,6
U3UX34.56-22,0.5416666666666666,4,3
U3UW34.67-8,0.8636363636363635,11,1
U3UC34.63-32,0.5625,8,1
U3TV34.1-52,0.625,4,1
U3UX34.56-37,0.875,4,1
U3UO34.49-36,0.888888888888889,9,2
U3UTC34.29,0.5,2,2
